CC	KO	n_changes	parameter	var_type	variable
-9.97780401889e-06	WT		PDC5	flux	GPP
-7.85454727516e-06	WT		PDC6	flux	GPP
5.18039848643e-15	WT		PFK1	flux	GPP
-0.108876090308	WT		PFK2	flux	GPP
-0.00714306705965	WT		PGI1	flux	GPP
-0.117150182139	WT		PGK1	flux	GPP
5.18039848643e-15	WT		PGM1	flux	GPP
1.38062808747	WT		ADH1	flux	HXK_GLK1
-7.77743658656e-14	WT		ADH5	flux	HXK_GLK1
0.24028156392	WT		CDC19	flux	HXK_GLK1
0.0110961191649	WT		ENO1	flux	HXK_GLK1
0.0495705957519	WT		ENO2	flux	HXK_GLK1
0.385254945946	WT		FBA1	flux	HXK_GLK1
1.00338906777	WT		GLK1	flux	HXK_GLK1
-7.77743658656e-14	WT		GPD1	flux	HXK_GLK1
-7.77743658656e-14	WT		GPD2	flux	HXK_GLK1
0.010512040914	WT		GPM1	flux	HXK_GLK1
-7.77743658656e-14	WT		HOR2	flux	HXK_GLK1
0.254236769781	WT		HXK1	flux	HXK_GLK1
5.58110451249	WT		HXK2	flux	HXK_GLK1
0.00500991855413	WT		PDC1	flux	HXK_GLK1
5.59519671186e-05	WT		PDC5	flux	HXK_GLK1
4.40450617851e-05	WT		PDC6	flux	HXK_GLK1
-7.77743658656e-14	WT		PFK1	flux	HXK_GLK1
1.35086142137	WT		PFK2	flux	HXK_GLK1
0.087034219955	WT		PGI1	flux	HXK_GLK1
0.656031075072	WT		PGK1	flux	HXK_GLK1
-7.77743658656e-14	WT		PGM1	flux	HXK_GLK1
0.639843660497	WT		ADH1	flux	HXK_HXK1
-4.00235358243e-14	WT		ADH5	flux	HXK_HXK1
0.111067033177	WT		CDC19	flux	HXK_HXK1
0.0051408036319	WT		ENO1	flux	HXK_HXK1
0.0230093822333	WT		ENO2	flux	HXK_HXK1
0.178435607985	WT		FBA1	flux	HXK_HXK1
0.00140915509962	WT		GLK1	flux	HXK_HXK1
-4.00235358243e-14	WT		GPD1	flux	HXK_HXK1
-4.00235358243e-14	WT		GPD2	flux	HXK_HXK1
0.00486983146541	WT		GPM1	flux	HXK_HXK1
-4.00235358243e-14	WT		HOR2	flux	HXK_HXK1
1.10545474396	WT		HXK1	flux	HXK_HXK1
2.36096580352	WT		HXK2	flux	HXK_HXK1
0.00231967296187	WT		PDC1	flux	HXK_HXK1
2.59067426653e-05	WT		PDC5	flux	HXK_HXK1
2.0393623769e-05	WT		PDC6	flux	HXK_HXK1
-4.00235358243e-14	WT		PFK1	flux	HXK_HXK1
0.625569159168	WT		PFK2	flux	HXK_HXK1
0.0404730057341	WT		PGI1	flux	HXK_HXK1
0.304028599665	WT		PGK1	flux	HXK_HXK1
-4.00235358243e-14	WT		PGM1	flux	HXK_HXK1
0.346580905617	WT		ADH1	flux	HXK_HXK2
-2.47531538923e-14	WT		ADH5	flux	HXK_HXK2
0.0605667202019	WT		CDC19	flux	HXK_HXK2
0.0028135010701	WT		ENO1	flux	HXK_HXK2
0.0126306843494	WT		ENO2	flux	HXK_HXK2
0.0984571301608	WT		FBA1	flux	HXK_HXK2
0.000516904473542	WT		GLK1	flux	HXK_HXK2
-2.47531538923e-14	WT		GPD1	flux	HXK_HXK2
-2.47531538923e-14	WT		GPD2	flux	HXK_HXK2
0.00266488307298	WT		GPM1	flux	HXK_HXK2
-2.47531538923e-14	WT		HOR2	flux	HXK_HXK2
0.0384039886436	WT		HXK1	flux	HXK_HXK2
1.88238025245	WT		HXK2	flux	HXK_HXK2
